targetLeft_x[pixels] targetLeft_y[pixels] targetRight_x[pixels] eyeVergence[deg] eyePan[deg] eyeTilt[deg] neckPan[deg] neckTilt[deg]
0.952 0.048 -0.000 1.368 -0.482 0.114 -10.712 -1.169 
0.952 0.000 -0.000 1.368 -0.482 0.112 -10.735 -1.176 
0.998 0.000 -0.000 1.369 -0.482 0.109 -10.737 -1.175 
1.000 0.000 -0.000 1.369 -0.482 0.109 -10.745 -1.173 
1.000 0.000 -0.000 1.369 -0.482 0.109 -10.745 -1.173 
1.000 0.000 0.000 1.375 -0.473 0.107 -10.745 -1.164 
1.000 0.000 0.000 1.372 -0.461 0.106 -10.734 -1.153 
1.000 0.000 0.000 1.372 -0.444 0.106 -10.745 -1.155 
1.000 0.000 0.000 1.372 -0.444 0.106 -10.745 -1.155 
1.000 0.000 0.000 1.374 -0.431 0.104 -10.742 -1.152 
0.002 0.000 0.000 1.374 -0.409 0.104 -10.743 -1.151 
0.000 0.000 0.000 1.374 -0.401 0.104 -10.736 -1.147 
0.000 0.000 0.000 1.374 -0.401 0.104 -10.736 -1.147 
0.000 0.000 0.000 1.374 -0.401 0.104 -10.736 -1.147 
0.000 0.000 0.000 1.373 -0.387 0.105 -10.749 -1.142 
0.000 0.000 0.000 1.373 -0.387 0.105 -10.756 -1.130 
0.000 0.000 0.000 1.373 -0.387 0.105 -10.753 -1.121 
0.000 0.000 0.000 1.373 -0.387 0.105 -10.753 -1.121 
0.000 0.000 0.000 1.370 -0.390 0.105 -10.767 -1.100 
0.000 0.000 0.000 1.369 -0.391 0.105 -10.767 -1.103 
0.000 0.000 0.048 1.369 -0.391 0.105 -10.767 -1.103 
0.000 0.000 0.952 1.363 -0.396 0.105 -10.776 -1.098 
0.000 0.000 0.002 1.363 -0.396 0.105 -10.794 -1.100 
0.000 0.000 0.950 1.363 -0.396 0.105 -10.794 -1.100 
0.000 0.000 0.048 1.363 -0.396 0.105 -10.796 -1.116 
0.000 0.000 0.950 1.363 -0.396 0.105 -10.796 -1.116 
0.950 0.000 0.998 1.364 -0.396 0.105 -10.804 -1.121 
0.002 0.000 0.002 1.365 -0.394 0.105 -10.818 -1.121 
0.000 0.000 0.000 1.362 -0.388 0.105 -10.819 -1.124 
0.950 0.000 0.950 1.359 -0.374 0.105 -10.823 -1.124 
0.952 0.000 1.000 1.357 -0.371 0.105 -10.826 -1.118 
0.998 0.000 1.000 1.356 -0.369 0.105 -10.825 -1.120 
1.000 0.000 0.002 1.355 -0.362 0.105 -10.825 -1.123 
1.000 0.000 0.000 1.351 -0.344 0.105 -10.825 -1.139 
0.050 0.950 0.000 1.348 -0.330 0.105 -10.826 -1.143 
0.998 0.002 0.000 1.349 -0.320 0.104 -10.822 -1.161 
1.000 0.000 0.000 1.349 -0.320 0.104 -10.822 -1.161 
0.050 0.950 0.048 1.352 -0.309 0.104 -10.823 -1.164 
0.952 0.048 0.002 1.352 -0.308 0.104 -10.828 -1.178 
0.048 0.952 0.000 1.352 -0.297 0.105 -10.826 -1.183 
0.000 1.000 0.000 1.352 -0.293 0.105 -10.824 -1.185 
0.000 1.000 0.000 1.353 -0.288 0.105 -10.820 -1.188 
0.000 1.000 0.000 1.352 -0.286 0.103 -10.831 -1.184 
0.000 1.000 0.000 1.352 -0.286 0.102 -10.826 -1.174 
0.000 1.000 0.000 1.352 -0.286 0.099 -10.844 -1.181 
0.000 1.000 0.000 1.352 -0.286 0.096 -10.834 -1.173 
0.000 1.000 0.000 1.352 -0.286 0.096 -10.834 -1.173 
0.000 0.953 0.000 1.352 -0.286 0.095 -10.834 -1.167 
0.000 0.998 0.000 1.352 -0.286 0.091 -10.840 -1.168 
0.000 0.050 0.000 1.352 -0.286 0.089 -10.848 -1.162 
0.000 0.998 0.000 1.352 -0.286 0.088 -10.839 -1.161 
0.000 1.000 0.000 1.352 -0.286 0.088 -10.839 -1.161 
0.000 0.050 0.000 1.352 -0.286 0.086 -10.851 -1.153 
0.000 0.952 0.000 1.352 -0.286 0.086 -10.851 -1.153 
0.000 0.998 0.000 1.352 -0.287 0.083 -10.860 -1.145 
0.000 1.000 0.000 1.352 -0.287 0.083 -10.860 -1.145 
0.000 1.000 0.000 1.351 -0.287 0.080 -10.863 -1.149 
0.000 1.000 0.000 1.351 -0.287 0.078 -10.868 -1.142 
0.950 0.050 0.000 1.351 -0.287 0.078 -10.868 -1.142 
0.048 0.952 0.950 1.351 -0.287 0.075 -10.861 -1.150 
0.950 0.050 0.002 1.351 -0.287 0.073 -10.875 -1.170 
0.048 0.952 0.000 1.351 -0.287 0.073 -10.875 -1.170 
